Country or Area,Gender,Education Level,Residence Area,Wealth Quintile,2001,2003,2004,2005,2006,2007,2008,2009,2010
Benin,,,,Q1 (Poorest),,,,,9.5,,,,
Benin,,,,Q2,,,,,15.8,,,,
Benin,,,,Q3,,,,,20.8,,,,
Benin,,,,Q4,,,,,26.6,,,,
Benin,,,,Q5 (Richest),,,,,34.1,,,,
Benin,,,Rural,,,,,,18.1,,,,
Benin,,,Urban,,,,,,25.6,,,,
Benin,,None,,,,,,,17.1,,,,
Benin,,Primary,,,,,,,29.3,,,,
Benin,,Secondary or higher,,,,,,,36.2,,,,
Benin,Female,,,,,,,,20.2,,,,
Benin,Male,,,,,,,,21.2,,,,
Burkina Faso,,,,Q1 (Poorest),,1.3,,,4.5,,,,
Burkina Faso,,,,Q2,,0.7,,,6.0,,,,
Burkina Faso,,,,Q3,,0.8,,,6.0,,,,
Burkina Faso,,,,Q4,,1.7,,,9.4,,,,
Burkina Faso,,,,Q5 (Richest),,6.7,,,26.2,,,,
Burkina Faso,,,Rural,,,1.3,,,6.2,,,,
Burkina Faso,,,Urban,,,6.1,,,23.9,,,,
Burkina Faso,,None,,,,1.5,,,7.1,,,,
Burkina Faso,,Primary,,,,3.9,,,19.7,,,,
Burkina Faso,,Secondary or higher,,,,7.4,,,34.4,,,,
Burkina Faso,Female,,,,,2.1,,,9.0,,,,
Burkina Faso,Male,,,,,1.8,,,10.2,,,,
Burundi,,,,Q1 (Poorest),,,,4.6,,,,,
Burundi,,,,Q2,,,,5.3,,,,,
Burundi,,,,Q3,,,,5.8,,,,,
Burundi,,,,Q4,,,,7.6,,,,,
Burundi,,,,Q5 (Richest),,,,19.2,,,,,
Burundi,,,Rural,,,,,6.8,,,,,
Burundi,,,Urban,,,,,39.7,,,,,
Burundi,,None,,,,,,5.8,,,,,
Burundi,,Primary,,,,,,8.6,,,,,
Burundi,,Secondary or higher,,,,,,46.2,,,,,
Burundi,Female,,,,,,,8.5,,,,,
Burundi,Male,,,,,,,8.3,,,,,
Cambodia,,,,Q1 (Poorest),,,,7.5,,,,,
Cambodia,,,,Q2,,,,4.6,,,,,
Cambodia,,,,Q3,,,,4.0,,,,,
Cambodia,,,,Q4,,,,1.4,,,,,
Cambodia,,,,Q5 (Richest),,,,0.9,,,,,
Cambodia,,,Rural,,,,,4.5,,,,,
Cambodia,,,Urban,,,,,1.5,,,,,
Cambodia,,None,,,,,,7.2,,,,,
Cambodia,,Primary,,,,,,3.7,,,,,
Cambodia,,Secondary or higher,,,,,,1.3,,,,,
Cambodia,Female,,,,,,,4.1,,,,,
Cambodia,Male,,,,,,,4.2,,,,,
Cameroon,,,,Q1 (Poorest),,,0.3,,8.9,,,,
Cameroon,,,,Q2,,,0.8,,12.8,,,,
Cameroon,,,,Q3,,,0.5,,13.0,,,,
Cameroon,,,,Q4,,,1.9,,15.2,,,,
Cameroon,,,,Q5 (Richest),,,2.3,,17.7,,,,
Cameroon,,,Rural,,,,0.5,,12.2,,,,
Cameroon,,,Urban,,,,1.8,,14.3,,,,
Cameroon,,None,,,,,0.3,,8.8,,,,
Cameroon,,Primary,,,,,1.2,,12.8,,,,
Cameroon,,Secondary or higher,,,,,1.6,,18.3,,,,
Cameroon,Female,,,,,,1.1,,13.2,,,,
Cameroon,Male,,,,,,1.0,,13.1,,,,
Central African Republic,,,,Q1 (Poorest),,,,,5.1,,,,
Central African Republic,,,,Q2,,,,,9.9,,,,
Central African Republic,,,,Q3,,,,,15.6,,,,
Central African Republic,,,,Q4,,,,,20.0,,,,
Central African Republic,,,,Q5 (Richest),,,,,28.4,,,,
Central African Republic,,,Rural,,,,,,9.9,,,,
Central African Republic,,,Urban,,,,,,24.1,,,,
Central African Republic,,None,,,,,,,9.2,,,,
Central African Republic,,Primary,,,,,,,16.7,,,,
Central African Republic,,Secondary or higher,,,,,,,27.8,,,,
Central African Republic,Female,,,,,,,,15.1,,,,
Central African Republic,Male,,,,,,,,15.2,,,,
Côte d’Ivoire,,,,Q1 (Poorest),,,,,2.0,,,,
Côte d’Ivoire,,,,Q2,,,,,3.2,,,,
Côte d’Ivoire,,,,Q3,,,,,4.2,,,,
Côte d’Ivoire,,,,Q4,,,,,4.7,,,,
Côte d’Ivoire,,,,Q5 (Richest),,,,,8.0,,,,
Côte d’Ivoire,,,Rural,,,,,,3.0,,,,
Côte d’Ivoire,,,Urban,,,,,,5.9,,,,
Côte d’Ivoire,,None,,,,,,,3.2,,,,
Côte d’Ivoire,,Primary,,,,,,,4.5,,,,
Côte d’Ivoire,,Secondary or higher,,,,,,,8.4,,,,
Côte d’Ivoire,Female,,,,,,,,4.5,,,,
Côte d’Ivoire,Male,,,,,,,,3.7,,,,
Democratic Republic of the Congo,,,,Q1 (Poorest),,,,,,2.4,,,
Democratic Republic of the Congo,,,,Q2,,,,,,4.3,,,
Democratic Republic of the Congo,,,,Q3,,,,,,6.7,,,
Democratic Republic of the Congo,,,,Q4,,,,,,5.9,,,
Democratic Republic of the Congo,,,,Q5 (Richest),,,,,,11.2,,,
Democratic Republic of the Congo,,,Rural,,,,,,,4.5,,,
Democratic Republic of the Congo,,,Urban,,,,,,,7.9,,,
Democratic Republic of the Congo,,None,,,,,,,,3.2,,,
Democratic Republic of the Congo,,Primary,,,,,,,,4.6,,,
Democratic Republic of the Congo,,Secondary or higher,,,,,,,,9.0,,,
Democratic Republic of the Congo,Female,,,,,,,,,5.5,,,
Democratic Republic of the Congo,Male,,,,,,,,,6.3,,,
Djibouti,,,Rural,,,,,,0.7,,,,
Djibouti,,,Urban,,,,,,1.3,,,,
Djibouti,,None,,,,,,,1.4,,,,
Djibouti,,Primary,,,,,,,0.8,,,,
Djibouti,,Secondary or higher,,,,,,,1.7,,,,
Djibouti,Female,,,,,,,,1.4,,,,
Djibouti,Male,,,,,,,,1.2,,,,
Ethiopia,,,,Q1 (Poorest),,,,1.4,,,,,
Ethiopia,,,,Q2,,,,0.8,,,,,
Ethiopia,,,,Q3,,,,1.2,,,,,
Ethiopia,,,,Q4,,,,1.8,,,,,
Ethiopia,,,,Q5 (Richest),,,,2.9,,,,,
Ethiopia,,,Rural,,,,,1.3,,,,,
Ethiopia,,,Urban,,,,,3.9,,,,,
Ethiopia,,None,,,,,,1.2,,,,,
Ethiopia,,Primary,,,,,,2.0,,,,,
Ethiopia,,Secondary or higher,,,,,,6.1,,,,,
Ethiopia,Female,,,,,,,1.5,,,,,
Ethiopia,Male,,,,,,,1.6,,,,,
Gambia,,,,Q1 (Poorest),,,,58.9,,,,,
Gambia,,,,Q2,,,,67.5,,,,,
Gambia,,,,Q3,,,,55.0,,,,,
Gambia,,,,Q4,,,,48.8,,,,,
Gambia,,,,Q5 (Richest),,,,33.9,,,,,
Gambia,,,Rural,,,,,60.1,,,,,
Gambia,,,Urban,,,,,42.2,,,,,
Gambia,,None,,,,,,54.4,,,,,
Gambia,,Primary,,,,,,56.8,,,,,
Gambia,,Secondary or higher,,,,,,49.1,,,,,
Gambia,Female,,,,,,,54.0,,,,,
Gambia,Male,,,,,,,53.6,,,,,
Ghana,,,,Q1 (Poorest),,6.7,,,24.4,,29.7,,
Ghana,,,,Q2,,1.9,,,22.3,,32.0,,
Ghana,,,,Q3,,3.0,,,19.3,,23.9,,
Ghana,,,,Q4,,3.1,,,20.8,,30.9,,
Ghana,,,,Q5 (Richest),,5.4,,,22.2,,27.8,,
Ghana,,,Rural,,,4.1,,,24.9,,32.2,,
Ghana,,,Urban,,,4.2,,,16.5,,24.1,,
Ghana,,None,,,,5.9,,,20.2,,25.0,,
Ghana,,Primary,,,,1.4,,,22.4,,27.8,,
Ghana,,Secondary or higher,,,,3.8,,,23.3,,33.0,,
Ghana,Female,,,,,4.0,,,21.6,,31.0,,
Ghana,Male,,,,,4.2,,,22.1,,27.3,,
Guinea,,,,Q1 (Poorest),,,,0.4,,,,,
Guinea,,,,Q2,,,,0.9,,,,,
Guinea,,,,Q3,,,,0.6,,,,,
Guinea,,,,Q4,,,,1.6,,,,,
Guinea,,,,Q5 (Richest),,,,4.1,,,,,
Guinea,,,Rural,,,,,0.8,,,,,
Guinea,,,Urban,,,,,3.1,,,,,
Guinea,,None,,,,,,1.1,,,,,
